,Unnamed: 0,fold,hyperparam,batch_size,epochs,activation,dropout_rate,neurons,test_cf_matrix,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_type_1_error_FP,test_type_2_error_FN,test_log_loss,test_cohen_kappa_score,hyperparam_str
2387,2387,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 2}",100,20,relu,0.0,2.0,"[[ 95  56]
 [ 57 161]]",0.6937669376693767,0.7402298850574712,0.7419354838709677,0.7385321100917431,0.6838355914697125,56,57,10.577036612685632,0.3672973916210187,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 2}"
2388,2388,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 0.5}",100,20,relu,0.1,0.5,"[[ 30 121]
 [  9 209]]",0.6476964769647696,0.7627737226277372,0.6333333333333333,0.9587155963302753,0.5786955465095085,121,9,12.168394803868408,0.1776383460193374,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 0.5}"
2389,2389,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 1}",100,20,relu,0.1,1.0,"[[ 62  89]
 [ 53 165]]",0.6151761517615176,0.6991525423728813,0.6496062992125984,0.7568807339449541,0.5837383802175101,89,53,13.291537702570745,0.173845862764884,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 1}"
2390,2390,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 1.5}",100,20,relu,0.1,1.5,"[[ 67  84]
 [ 43 175]]",0.6558265582655827,0.7337526205450733,0.6756756756756757,0.8027522935779816,0.6232304514247524,84,43,11.88751156731109,0.2571922205138771,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 1.5}"
2391,2391,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 2}",100,20,relu,0.1,2.0,"[[102  49]
 [ 49 169]]",0.7344173441734417,0.7752293577981652,0.7752293577981652,0.7752293577981652,0.7253630232699436,49,49,9.173006143564573,0.450726046539887,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 2}"
2392,2392,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 0.5}",100,20,relu,0.3,0.5,"[[ 65  86]
 [ 61 157]]",0.6016260162601627,0.6811279826464207,0.6460905349794238,0.7201834862385321,0.5753235311987362,86,61,13.759536301980669,0.154579884976855,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 0.5}"
2393,2393,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 1}",100,20,relu,0.3,1.0,"[[  0 151]
 [  0 218]]",0.5907859078590786,0.7427597955706985,0.5907859078590786,1.0,0.5,151,0,14.134081232638136,0.0,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 1}"
2394,2394,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 1.5}",100,20,relu,0.3,1.5,"[[116  35]
 [ 83 135]]",0.6802168021680217,0.6958762886597938,0.7941176470588235,0.6192660550458715,0.6937389877878364,35,83,11.044996207342866,0.3694317326073104,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 1.5}"
2395,2395,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 2}",100,20,relu,0.3,2.0,"[[ 56  95]
 [ 56 162]]",0.5907859078590786,0.6821052631578948,0.6303501945525292,0.7431192660550459,0.5569900966036818,95,56,14.133959884518648,0.1186909827119876,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 2}"
2396,2396,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 0.5}",100,20,relu,0.5,0.5,"[[ 94  57]
 [ 98 120]]",0.5799457994579946,0.6075949367088608,0.6779661016949152,0.5504587155963303,0.5864876359438606,57,98,14.508281621313486,0.1660469795721972,"{'batch_size': 100, 'epochs': 20, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 0.5}"
